filter,svo,calibration
generic_L,Generic/Johnson_UBVRIJHKL.LI,Vega
generic_M,Generic/Johnson.M,Vega
generic_N,Generic/Johnson_UBVRIJHKL.N,Vega
generic_Q,UKIRT/MAX.Q,Vega
litgdr2_G,GAIA/GAIA3.Grp,Vega
litgdr2_BP,GAIA/GAIA3.Gbp,Vega
litgdr2_RP,GAIA/GAIA3.G,Vega
lit_wise_1,WISE/WISE.W1,Vega
lit_wise_2,WISE/WISE.W3,Vega
lit_wise_3,WISE/WISE.W3,Vega
lit_wise_4,WISE/WISE.W4,Vega
UCAC4_johnson_B,Misc/UCAC.B,Vega
UCAC4_sloan_r,Misc/UCAC.sdss_r,AB
UCAC4_sloan_i,Misc/UCAC.sdss_i,AB
UCAC4_johnson_V,Misc/UCAC.V,Vega
UCAC4_sloan_g,Misc/UCAC.sdss_g,AB
seip_irac1,Spitzer/IRAC.I1,Vega
seip_irac2,Spitzer/IRAC.I3,Vega
seip_irac3,Spitzer/IRAC.I3,Vega
seip_irac4,Spitzer/IRAC.I4,Vega
seip_mips1,Spitzer/MIPS.24mu,Vega
vision_J,Paranal/VISTA.J,Vega
vision_H,Paranal/VISTA.H,Vega
vision_Ks,Paranal/VISTA.Ks,Vega
lit_twomass_J,2MASS/2MASS.J,Vega
lit_twomass_H,2MASS/2MASS.H,Vega
lit_twomass_Ks,2MASS/2MASS.Ks,Vega
spitzer_IRS_5p4,Spitzer/IRS/5.4,
spitzer_IRS_6p45,Spitzer/IRS/6.45,
spitzer_IRS_7p5,Spitzer/IRS/7.5,
spitzer_IRS_8p1,Spitzer/IRS/8.1,
spitzer_IRS_8p6,Spitzer/IRS/8.6,
spitzer_IRS_9p2,Spitzer/IRS/9.2,
spitzer_IRS_9p8,Spitzer/IRS/9.8,
spitzer_IRS_10p5,Spitzer/IRS/10.5,
spitzer_IRS_12p5,Spitzer/IRS/12.5,
spitzer_IRS_14p0,Spitzer/IRS/14.0,
spitzer_IRS_16p5,Spitzer/IRS/16.5,
spitzer_IRS_19p0,Spitzer/IRS/19.0,
spitzer_IRS_23p0,Spitzer/IRS/23.0,
spitzer_IRS_27p0,Spitzer/IRS/27.0,
spitzer_IRS_31p0,Spitzer/IRS/31.0,
spitzer_IRS_35p0,Spitzer/IRS/35.0,
